Individual,Spouse.ID,Day,Female.Dummy,Profit,Occupation
CH110103,CH110226,1,0,1000,1
CH110103,CH110226,2,0,550,1
CH110103,CH110226,3,0,1030,1
CH110202,CH110101,1,1,200,2
CH110202,CH110101,2,1,-400,2
CH110202,CH110101,3,1,-50,2
CH110226,CH110103,1,1,180,2
CH110226,CH110103,2,1,170,2
CH110226,CH110103,3,1,250,2
CH140101,CH140202,1,0,1200,1
CH140101,CH140202,2,0,600,1
CH140101,CH140202,3,0,500,1
CH140101,CH140202,4,0,600,1
CH140101,CH140202,5,0,700,1
CH140202,CH140101,1,1,440,2
CH140202,CH140101,2,1,640,2
CH140202,CH140101,3,1,500,2
CH140202,CH140101,4,1,300,2
CH140202,CH140101,5,1,800,2
CH150101,CH150202,1,0,320,1
CH150101,CH150202,2,0,450,1
CH150101,CH150202,3,0,380,1
CH150101,CH150202,4,0,500,1
CH150101,CH150202,5,0,600,1
CH150101,CH150202,6,0,550,1
CH150202,CH150101,1,1,-500,2
CH150202,CH150101,2,1,-500,2
CH150202,CH150101,3,1,0,2
CH160101,CH160202,1,0,1200,1
CH160101,CH160202,2,0,1200,1
CH160101,CH160202,3,0,1200,1
CH160101,CH160202,4,0,350,1
CH160101,CH160202,5,0,350,1
CH160101,CH160202,6,0,350,1
CH160101,CH160202,7,0,1050,1
CH160101,CH160202,8,0,1050,1
CH160101,CH160202,9,0,1050,1
CH160101,CH160202,10,0,2200,1
CH160101,CH160202,11,0,2200,1
CH160101,CH160101,12,0,2200,1
CH160202,CH160101,1,1,150,2
CH160202,CH160101,2,1,175,2
CH160202,CH160101,3,1,0,2
CH160202,CH160101,4,1,150,2
CH160202,CH160101,5,1,175,2
CH160202,CH160101,6,1,0,2
CH160202,CH160101,7,1,150,2
CH160202,CH160101,8,1,175,2
CH160202,CH160101,9,1,0,2
CH160202,CH160101,11,1,175,2
CH160202,CH160101,12,1,0,2
CH160202,CH160101,13,1,150,2
CH170101,CH170202,1,0,300,1
CH170101,CH170202,3,0,400,1
CH170202,CH170101,1,1,0,2
CH170202,CH170101,2,1,250,2
CH180101,CH180202,1,0,1530,1
CH180101,CH180202,2,0,1710,1
CH180101,CH180202,3,0,1710,1
CH180202,CH180101,1,1,1530,1
CH180202,CH180101,2,1,1710,1
CH180202,CH180101,3,1,1710,1
CH210104,,1,0,0,1
CH210104,,2,0,950,1
CH210104,,3,0,1900,1
CH210104,,4,0,900,1
CH210104,,5,0,500,1
CH210202,,,1,,5
CH210203,,1,1,300,2
CH210203,,2,1,800,2
CH210203,,3,1,400,2
CH230101,CH230202,1,0,200,1
CH230101,CH230202,2,0,750,1
CH230101,CH230202,3,0,370,1
CH230101,CH230202,4,0,750,1
CH230103,CH230226,1,0,500,1
CH230103,CH230226,2,0,500,1
CH230103,CH230226,3,0,400,1
CH230202,CH230101,1,1,400,2
CH230202,CH230101,2,1,-100,2
CH230202,CH230101,3,1,500,2
CH230202,CH230101,4,1,-300,2
CH230202,CH230101,5,1,200,2
CH230226,CH230103,1,1,550,2
CH230226,CH230103,2,1,800,2
CH230226,CH230103,3,1,-600,2
CH230226,CH230103,4,1,1250,2
CH250101,CH250202,1,0,500,1
CH250101,CH250202,2,0,0,1
CH250101,CH250202,3,0,270,1
CH250101,CH250202,4,0,410,1
CH250202,CH250101,1,1,550,2
CH250202,CH250101,2,1,400,2
CH260101,CH260202,1,0,280,1
CH260101,CH260202,2,0,280,1
CH260101,CH260202,3,0,700,1
CH260202,CH260101,1,1,280,1
CH260202,CH260101,2,1,280,1
CH260202,CH260101,3,1,900,1
CH260202,CH260101,4,1,700,1
CH280103,CH280226,1,0,360,1
CH280103,CH280226,2,0,630,1
CH280103,CH280226,3,0,750,1
CH280103,CH280226,4,0,350,1
CH280103,CH280226,5,0,510,1
CH280104,CH280227,1,0,720,1
CH280104,CH280227,2,0,300,1
CH280104,CH280227,3,0,700,1
CH280202,CH280101,1,1,200,2
CH280202,CH280101,2,1,400,2
CH280202,CH280101,3,1,400,2
CH280226,CH280103,4,1,350,1
CH280226,CH280103,5,1,510,1
CH280227,CH280104,,1,,5
KB010101,KB010202,1,0,300,1
KB010101,KB010202,2,0,700,1
KB010101,KB010202,3,0,1200,1
KB010202,KB010101,1,1,300,1
KB010202,KB010101,2,1,700,1
KB010202,KB010101,3,1,1200,1
KB020202,KB010101,1,1,470,1
KB020202,KB010101,2,1,500,1
KB020202,KB010101,3,1,600,1
KB030101,KB030202,1,0,1680,1
KB030101,KB030202,2,0,1800,1
KB030101,KB030202,3,0,1800,1
KB030202,KB030101,1,1,1680,1
KB030202,KB030101,2,1,1800,1
KB030202,KB030101,3,1,1800,1
KB050101,KB050202,1,0,1500,1
KB050101,KB050202,2,0,700,1
KB050101,KB050202,3,0,500,1
KB050101,KB050202,4,0,1200,1
KB050202,KB050101,1,1,700,1
KB050202,KB050101,2,1,500,1
KB050202,KB050101,3,1,1200,1
KB060202,KB050101,1,1,350,2
KB060202,KB050101,2,1,800,2
KB060202,KB050101,3,1,-50,2
KB070103,KB070220,1,0,0,1
KB070103,KB070220,2,0,2400,1
KB070103,KB070220,3,0,0,1
KB070220,KB070103,1,1,0,1
KB070220,KB070103,2,1,2400,1
KB070220,KB070103,3,1,0,1
KB080101,KB080202,1,0,2500,1
KB080101,KB080202,2,0,700,1
KB080101,KB080202,3,0,400,1
KB080101,KB080202,4,0,200,1
KB080101,KB080202,5,0,720,1
